message;severity;node;stamp;location
"[94mLoaded [1mpanda2_gripper_controller[0m";"20";"spawner_panda2_gripper_controller";"1747478417.760764785";"/opt/ros/humble/local/lib/python3.10/dist-packages/controller_manager/spawner.py:main:237"
"[92mConfigured and activated [1mpanda2_gripper_controller[0m";"20";"spawner_panda2_gripper_controller";"1747478417.970488383";"/opt/ros/humble/local/lib/python3.10/dist-packages/controller_manager/spawner.py:main:272"
"[94mLoaded [1mpanda2_arm_controller[0m";"20";"spawner_panda2_arm_controller";"1747478417.494190388";"/opt/ros/humble/local/lib/python3.10/dist-packages/controller_manager/spawner.py:main:237"
"[92mConfigured and activated [1mpanda2_arm_controller[0m";"20";"spawner_panda2_arm_controller";"1747478417.953296779";"/opt/ros/humble/local/lib/python3.10/dist-packages/controller_manager/spawner.py:main:272"
"[94mLoaded [1mpanda1_gripper_controller[0m";"20";"spawner_panda1_gripper_controller";"1747478417.239227822";"/opt/ros/humble/local/lib/python3.10/dist-packages/controller_manager/spawner.py:main:237"
"[92mConfigured and activated [1mpanda1_gripper_controller[0m";"20";"spawner_panda1_gripper_controller";"1747478417.930000745";"/opt/ros/humble/local/lib/python3.10/dist-packages/controller_manager/spawner.py:main:272"
"waiting for service /controller_manager/list_controllers to become available...";"20";"spawner_panda1_arm_controller";"1747478416.983456978";"/opt/ros/humble/local/lib/python3.10/dist-packages/controller_manager/controller_manager_services.py:service_caller:127"
"[94mLoaded [1mpanda1_arm_controller[0m";"20";"spawner_panda1_arm_controller";"1747478417.820580779";"/opt/ros/humble/local/lib/python3.10/dist-packages/controller_manager/spawner.py:main:237"
"[92mConfigured and activated [1mpanda1_arm_controller[0m";"20";"spawner_panda1_arm_controller";"1747478418.023109091";"/opt/ros/humble/local/lib/python3.10/dist-packages/controller_manager/spawner.py:main:272"
"waiting for service /controller_manager/list_controllers to become available...";"20";"spawner_joint_state_broadcaster";"1747478413.634104305";"/opt/ros/humble/local/lib/python3.10/dist-packages/controller_manager/controller_manager_services.py:service_caller:127"
"[94mLoaded [1mjoint_state_broadcaster[0m";"20";"spawner_joint_state_broadcaster";"1747478413.919154479";"/opt/ros/humble/local/lib/python3.10/dist-packages/controller_manager/spawner.py:main:237"
"[92mConfigured and activated [1mjoint_state_broadcaster[0m";"20";"spawner_joint_state_broadcaster";"1747478414.059905055";"/opt/ros/humble/local/lib/python3.10/dist-packages/controller_manager/spawner.py:main:272"
"Loaded kinematic model in 0.279646 seconds";"10";"servo_left";"1747478417.472764862";"./robot_model_loader/src/robot_model_loader.cpp:configure:248"
"butterworth_filter_coeff: double = 1.500000";"10";"servo_left";"1747478417.733814150";"./.obj-aarch64-linux-gnu/online_signal_smoothing/include/moveit_core/moveit_butterworth_parameters.hpp:declare_params:181"
"Stereo is NOT SUPPORTED";"20";"rviz2";"1747478414.473881800";"./src/main.cpp:operator():62"
"OpenGl version: 2.1 (GLSL 1.2)";"20";"rviz2";"1747478414.474160004";"./src/main.cpp:operator():62"
"Stereo is NOT SUPPORTED";"20";"rviz2";"1747478414.509376448";"./src/main.cpp:operator():62"
"got segment right_fr3_link0";"20";"robot_state_publisher";"1747478412.852783027";"./src/robot_state_publisher.cpp:setupURDF:201"
"got segment right_fr3_link1";"20";"robot_state_publisher";"1747478412.852792568";"./src/robot_state_publisher.cpp:setupURDF:201"
